Track_Line_No,Latitude,Longitude_East,Longitude_West,Length_nm
1,42.10833333,-70.63167,-70.16667,21
2,42.08333333,-70.26333,-70.60500,15
3,42.05833333,-70.61333,-70.28333,15
4,42.03333333,-70.12833,-70.59500,21
5,42.00833333,-70.57000,-70.11667,20
6,41.98333333,-70.11000,-70.57000,21
7,41.95833333,-70.57000,-70.11000,21
8,41.93333333,-70.10500,-70.52667,19
9,41.90833333,-70.51500,-70.10500,18
10,41.88333333,-70.10167,-70.50000,18
11,41.85833333,-70.10167,-70.49167,18
12,41.83333333,-70.50500,-70.10167,18
13,41.80833333,-70.10167,-70.50333,18
14,41.78333333,-70.47167,-70.10167,17
15,41.75833333,-70.10167,-70.44167,11
16S,41.66666667,-69.86667, , 
16MS,41.878525,-69.89000, , 
16MN,42.06,-70.00600, , 
16N,42.10833333,-70.63167, ,35
